X,Y,id,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
-2542934,179128,"1","0","0","0","0",0.00000000000000,45.00000000000000
-2126770,179128,"1","1","0","0","1",416164.00000000000000,135.00000000000000
-2126770,-173213,"1","2","0","0","2",768505.00000000000000,225.00000000000000
-2542934,-173213,"1","3","0","0","3",1184669.00000000000000,315.00000000000000
-2542934,179128,"1","4","0","0","4",1537010.00000000000000,45.00000000000000
-2468781.79008843,-4258.45469263494,"2","0","0","0","0",0.00000000000000,4.94046140939735
-2454768.62614952,8573.99920264505,"2","1","0","0","1",19001.06935289043031,57.41590181667584
-2439605.82348391,14912.5478579407,"2","2","0","0","2",35435.41703485707694,87.87421107434650
-2435131.55384487,13421.12464493,"2","3","0","0","3",40151.71134321724821,100.12951932764966
-2415618.76680798,12799.6983061755,"2","4","0","0","4",59674.39119618683617,87.66237177636084
-2405800.23065566,13918.2657159336,"2","5","0","0","5",69556.43780731986044,85.75138693193441
-2395111.69762909,14291.1215191863,"2","6","0","0","6",80251.47215556979063,107.70373838745959
-2392998.84807732,12675.4130384246,"2","7","0","0","7",82911.29303735931171,104.37061059914394
-2379948.89496348,14663.977322439,"2","8","0","0","8",96111.88636437262176,73.26322809571614
-2366774.65658188,20753.9554422329,"2","9","0","0","9",110625.61746408148610,76.12745908905951
-2361927.5311396,21002.5259777347,"2","10","0","0","10",115479.11232493819261,72.63612750817872
-2346889.01374174,30323.9210590519,"2","11","0","0","11",133172.20170434532338,46.91120510136762
-2334336.2016989,47848.1438119282,"2","12","0","0","12",154728.44148022704758,33.58062321675053
-2322280.53072706,67485.2161165698,"2","13","0","0","13",177770.87649215475540,35.89156150140912
-2304507.73743868,88489.4263664712,"2","14","0","0","14",205285.40046574879671,110.72761677220170
-2304632.02270643,82648.0187821791,"2","15","0","0","15",211128.13008413821808,193.16685506063641
-2306496.3017227,78670.8902141504,"2","16","0","0","16",215520.51985476529808,213.51868974336003
-2311964.85350374,72580.9120943565,"2","17","0","0","17",223705.43842989363475,201.65986281393575
-2312089.13877149,67485.2161165698,"2","18","0","0","18",228802.64985633178730,147.14386634177129
-2306496.3017227,65123.7960293028,"2","19","0","0","19",234873.57491622760426,156.63349343504206
-2309727.71868422,56423.82728674,"2","20","0","0","20",244154.28133873603656,196.50929377086348
-2312710.56511024,43125.3036373942,"2","21","0","0","21",257783.22495346429059,202.97639157622567
-2318427.68742678,34425.3348948314,"2","22","0","0","22",268193.55365643335972,215.42503234919565
-2327500.5119726,22618.2344584963,"2","23","0","0","23",283083.94538911961718,218.26521395816829
-2333839.06062789,14788.2625901899,"2","24","0","0","24",293157.95444778248202,204.42840049279548
-2334833.3427699,9071.14027364863,"2","25","0","0","25",298960.89202802651562,120.27161180256527
-2323150.52760132,18641.1058904676,"2","26","0","0","26",314062.95851478254190,53.63041763336618
-2311094.85662948,26595.363026525,"2","27","0","0","27",328506.27562574116746,18.61221221449503
-2312710.56511024,31193.9179333081,"2","28","0","0","28",333380.41361368377693,6.38912740267323
-2306620.58699045,40888.168817878,"2","29","0","0","29",344828.83419088815572,52.46384573024756
-2292576.3517346,45238.1531891594,"2","30","0","0","30",359531.31384406500729,59.83931524309806
-2286734.9441503,50706.7049701988,"2","31","0","0","31",367533.00748652237235,69.36789913636954
-2279029.25754975,50458.134434697,"2","32","0","0","32",375242.70224682876142,126.70633072153612
-2275549.27005272,40018.1719436218,"2","33","0","0","33",386247.38896633649711,137.22780141666277
-2264363.59595514,35295.3317690877,"2","34","0","0","34",398389.23908612818923,136.77787155921081
-2259392.18524511,21126.8112454856,"2","35","0","0","35",413404.62780156254303,186.59504087498297
-2264860.73702615,12551.1277706737,"2","36","0","0","36",423575.53757611435140,224.37367417861853
-2283627.81245653,-1.6842721667781,"2","37","0","0","37",446153.76182853634236,231.85600549572180
-2292576.3517346,-8204.51194372592,"2","38","0","0","38",458293.06728726648726,232.48519715687823
-2302177.38866835,-14325.5613804575,"2","39","0","0","39",469679.33780971047236,242.18951709869933
